epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6656.87,0.36864,0.45582,0.938,0.71574,0.95029,0.75768,0.69446,0.37232,0.62993,0.91211,0.007591,0.007591,0.007591
75,6747,0.37158,0.4503,0.93752,0.7256,0.93269,0.75055,0.68849,0.36579,0.63797,0.90126,0.007558,0.007558,0.007558
76,6836.92,0.36506,0.45197,0.93654,0.74201,0.92644,0.76726,0.70281,0.34192,0.64615,0.88142,0.007525,0.007525,0.007525
77,6926.68,0.35925,0.4453,0.93058,0.73503,0.9375,0.76233,0.69541,0.3467,0.64229,0.87914,0.007492,0.007492,0.007492
78,7016.81,0.36478,0.44539,0.93624,0.73557,0.94285,0.75739,0.69607,0.34827,0.63243,0.87558,0.007459,0.007459,0.007459
79,7106.83,0.36317,0.4526,0.93156,0.73013,0.92351,0.74769,0.69159,0.36211,0.67327,0.89278,0.007426,0.007426,0.007426
80,7196.91,0.35647,0.44136,0.92996,0.74169,0.9249,0.75796,0.69196,0.3641,0.67053,0.89454,0.007393,0.007393,0.007393
81,7287.04,0.36092,0.45226,0.92965,0.74734,0.92433,0.75314,0.69423,0.35501,0.668,0.88169,0.00736,0.00736,0.00736
82,7377.03,0.35454,0.43996,0.92966,0.73755,0.9351,0.75301,0.69622,0.35057,0.66489,0.87449,0.007327,0.007327,0.007327
83,7466.93,0.35157,0.44374,0.93023,0.74192,0.92308,0.75443,0.69617,0.3463,0.65842,0.8619,0.007294,0.007294,0.007294
84,7556.75,0.35458,0.44823,0.9297,0.72541,0.93986,0.75179,0.69475,0.3437,0.63902,0.86441,0.007261,0.007261,0.007261
85,7646.63,0.34918,0.44113,0.92562,0.73336,0.91902,0.75309,0.7018,0.32652,0.63075,0.85647,0.007228,0.007228,0.007228
86,7736.46,0.35064,0.43739,0.92522,0.74811,0.92308,0.76079,0.70532,0.33965,0.62739,0.86796,0.007195,0.007195,0.007195
87,7826.28,0.34585,0.43536,0.92594,0.73572,0.94712,0.76095,0.70591,0.3387,0.63905,0.86403,0.007162,0.007162,0.007162
88,7916.12,0.34855,0.44094,0.9308,0.7553,0.91587,0.75466,0.70534,0.33109,0.61106,0.85844,0.007129,0.007129,0.007129
89,8005.94,0.34755,0.43412,0.92337,0.74373,0.92308,0.75844,0.70495,0.33897,0.60967,0.87223,0.007096,0.007096,0.007096
90,8095.83,0.34133,0.42966,0.91972,0.74943,0.91308,0.76221,0.7075,0.33229,0.62544,0.8819,0.007063,0.007063,0.007063
91,8185.82,0.33815,0.42807,0.92223,0.72476,0.94312,0.76421,0.71012,0.32442,0.61239,0.8654,0.00703,0.00703,0.00703
92,8275.79,0.3354,0.42282,0.91983,0.71482,0.9399,0.75644,0.70134,0.3328,0.62413,0.87263,0.006997,0.006997,0.006997
93,8365.84,0.34014,0.42825,0.92255,0.71907,0.94712,0.76597,0.70634,0.34283,0.62614,0.87969,0.006964,0.006964,0.006964
94,8455.76,0.33585,0.42709,0.92033,0.7252,0.94471,0.75616,0.70099,0.33797,0.62753,0.89395,0.006931,0.006931,0.006931
95,8545.55,0.34045,0.42445,0.91972,0.73098,0.94711,0.76155,0.70902,0.33548,0.61135,0.88271,0.006898,0.006898,0.006898
96,8635.4,0.3372,0.42515,0.91919,0.74611,0.95192,0.76073,0.70541,0.33396,0.62219,0.88032,0.006865,0.006865,0.006865
97,8725.17,0.33737,0.42501,0.91669,0.74646,0.9342,0.76312,0.71093,0.32884,0.61165,0.85911,0.006832,0.006832,0.006832
98,8815.14,0.3359,0.4286,0.91664,0.72016,0.96875,0.76262,0.70794,0.34036,0.62146,0.87102,0.006799,0.006799,0.006799
99,8905.01,0.32659,0.41559,0.91743,0.7515,0.90385,0.76056,0.70623,0.33541,0.64405,0.86481,0.006766,0.006766,0.006766
100,8994.85,0.32996,0.41971,0.91706,0.74993,0.91106,0.76249,0.70861,0.32228,0.6451,0.85147,0.006733,0.006733,0.006733
101,9084.81,0.32163,0.40956,0.91122,0.74029,0.94231,0.76649,0.71255,0.32961,0.62637,0.8628,0.0067,0.0067,0.0067
102,9174.84,0.32489,0.42107,0.91335,0.76036,0.9351,0.76932,0.71488,0.32646,0.63486,0.86123,0.006667,0.006667,0.006667
103,9264.91,0.32393,0.4224,0.91756,0.77748,0.91346,0.77162,0.70564,0.32214,0.63161,0.85361,0.006634,0.006634,0.006634
104,9354.9,0.32511,0.41414,0.91909,0.77564,0.92247,0.77138,0.71059,0.33129,0.61353,0.87005,0.006601,0.006601,0.006601
105,9444.83,0.32293,0.4194,0.91643,0.74897,0.96154,0.7615,0.70442,0.34119,0.62594,0.88299,0.006568,0.006568,0.006568
106,9534.85,0.3241,0.41376,0.91411,0.75974,0.93496,0.76123,0.70393,0.33746,0.64895,0.87643,0.006535,0.006535,0.006535
107,9624.78,0.31641,0.4105,0.90977,0.77099,0.91346,0.76538,0.71008,0.3324,0.64324,0.87616,0.006502,0.006502,0.006502
108,9714.76,0.3173,0.41688,0.91052,0.76238,0.91781,0.75989,0.70903,0.33172,0.63073,0.88334,0.006469,0.006469,0.006469
109,9804.68,0.31786,0.41191,0.91197,0.76587,0.93029,0.76562,0.71074,0.33946,0.61527,0.88757,0.006436,0.006436,0.006436
110,9894.58,0.31314,0.4002,0.90931,0.75058,0.95192,0.77033,0.71439,0.33154,0.60522,0.87796,0.006403,0.006403,0.006403
111,9984.5,0.31348,0.41598,0.91091,0.74972,0.95192,0.77082,0.71251,0.3405,0.61321,0.8941,0.00637,0.00637,0.00637
112,10074.5,0.31572,0.4114,0.90899,0.76463,0.92067,0.76979,0.71094,0.33774,0.61533,0.89179,0.006337,0.006337,0.006337
113,10164.7,0.31806,0.41601,0.90977,0.73457,0.95192,0.7619,0.7117,0.331,0.62095,0.88085,0.006304,0.006304,0.006304
114,10254.7,0.31257,0.4022,0.90856,0.77209,0.91346,0.76883,0.7108,0.32233,0.61973,0.87161,0.006271,0.006271,0.006271
115,10344.7,0.31005,0.40964,0.90607,0.72798,0.95433,0.76191,0.71457,0.3277,0.61399,0.8823,0.006238,0.006238,0.006238
116,10434.7,0.31023,0.40539,0.906,0.76663,0.91346,0.76376,0.71369,0.32763,0.62546,0.87969,0.006205,0.006205,0.006205
117,10524.6,0.30962,0.40715,0.90512,0.75327,0.9399,0.76117,0.70521,0.34225,0.63556,0.90664,0.006172,0.006172,0.006172
118,10614.6,0.30651,0.40255,0.90649,0.76105,0.93029,0.76401,0.71061,0.33567,0.62396,0.90102,0.006139,0.006139,0.006139
119,10704.4,0.30571,0.40135,0.90611,0.75084,0.95192,0.76545,0.71402,0.32472,0.63023,0.8891,0.006106,0.006106,0.006106
120,10794.4,0.30455,0.40034,0.90444,0.75096,0.93508,0.76078,0.71184,0.31617,0.62497,0.87683,0.006073,0.006073,0.006073
121,10884.2,0.30128,0.39454,0.90097,0.76378,0.93029,0.76153,0.71463,0.32066,0.62621,0.8777,0.00604,0.00604,0.00604
122,10974.2,0.30216,0.39457,0.90305,0.75639,0.94043,0.76308,0.71835,0.31905,0.61898,0.86967,0.006007,0.006007,0.006007
123,11064,0.3026,0.40187,0.9027,0.7578,0.94712,0.76259,0.71616,0.32444,0.59876,0.87918,0.005974,0.005974,0.005974
124,11154,0.30428,0.39947,0.90175,0.76674,0.95433,0.76741,0.71582,0.33137,0.59716,0.89138,0.005941,0.005941,0.005941
125,11243.9,0.30028,0.40279,0.90172,0.76081,0.95433,0.76298,0.71435,0.32365,0.59518,0.87771,0.005908,0.005908,0.005908
126,11333.9,0.29747,0.39975,0.90303,0.76892,0.94388,0.76342,0.71396,0.32442,0.59447,0.88247,0.005875,0.005875,0.005875
127,11423.9,0.29962,0.39542,0.90439,0.75887,0.94471,0.76431,0.71448,0.32714,0.60617,0.88622,0.005842,0.005842,0.005842
128,11513.9,0.29564,0.3915,0.89712,0.76033,0.94471,0.7654,0.71145,0.32676,0.60344,0.88286,0.005809,0.005809,0.005809
129,11603.7,0.29434,0.38923,0.89951,0.76454,0.95192,0.7664,0.71069,0.32646,0.59934,0.88502,0.005776,0.005776,0.005776
130,11693.6,0.29212,0.38544,0.89989,0.75645,0.96635,0.76543,0.7098,0.33028,0.59908,0.8927,0.005743,0.005743,0.005743
131,11783.6,0.29443,0.39292,0.9006,0.75322,0.96635,0.76425,0.70908,0.32833,0.59645,0.89138,0.00571,0.00571,0.00571
132,11873.5,0.29237,0.386,0.89866,0.74502,0.96875,0.76284,0.71145,0.32719,0.60122,0.88877,0.005677,0.005677,0.005677
133,11963.4,0.29331,0.39271,0.89741,0.74487,0.96154,0.76159,0.71136,0.32238,0.60467,0.88009,0.005644,0.005644,0.005644
134,12053.4,0.28971,0.38687,0.89885,0.75453,0.95316,0.76259,0.7127,0.32219,0.60528,0.88029,0.005611,0.005611,0.005611
135,12143.3,0.29053,0.38405,0.89857,0.74762,0.9542,0.76062,0.71154,0.31455,0.6045,0.87008,0.005578,0.005578,0.005578
136,12233.4,0.28997,0.39074,0.89945,0.74861,0.95923,0.76029,0.71158,0.31816,0.60524,0.87206,0.005545,0.005545,0.005545
137,12323.3,0.28896,0.38729,0.89784,0.74785,0.96875,0.76192,0.71288,0.29984,0.60532,0.85412,0.005512,0.005512,0.005512
138,12413.3,0.28655,0.37961,0.89328,0.74877,0.96635,0.76484,0.71213,0.30107,0.60144,0.85717,0.005479,0.005479,0.005479
